2023;Восход;Зенит;Долгота дня;;Начало астрономических сумерек;Начало навигационных сумерек;Начало гражданских сумерек;Конец гражданских сумерек;Конец навигационных сумерек;Конец астрономических сумерек
02.03;07:55;13:12;18:29;10:34:24;+5:27;05:36;06:25;07:13;19:11;19:59;20:48
03.03;07:52;13:12;18:32;10:39:50;+5:26;05:33;06:22;07:10;19:13;20:01;20:50
04.03;07:49;13:12;18:34;10:45:17;+5:27;05:30;06:19;07:07;19:16;20:04;20:53
05.03;07:46;13:11;18:37;10:50:44;+5:27;05:27;06:16;07:05;19:18;20:06;20:56
06.03;07:43;13:11;18:39;10:56:11;+5:27;05:24;06:14;07:02;19:21;20:09;20:58
07.03;07:40;13:11;18:42;11:01:38;+5:27;05:21;06:11;06:59;19:23;20:11;21:01
08.03;07:37;13:11;18:44;11:07:05;+5:27;05:17;06:08;06:56;19:26;20:14;21:04
09.03;07:34;13:10;18:47;11:12:32;+5:27;05:14;06:05;06:53;19:28;20:16;21:07
10.03;07:31;13:10;18:49;11:18:00;+5:28;05:11;06:01;06:50;19:30;20:19;21:09
11.03;07:28;13:10;18:52;11:23:27;+5:27;05:08;05:58;06:47;19:33;20:21;21:12
12.03;07:25;13:10;18:54;11:28:55;+5:28;05:04;05:55;06:44;19:35;20:24;21:15
13.03;07:22;13:09;18:56;11:34:23;+5:28;05:01;05:52;06:41;19:38;20:26;21:18
14.03;07:19;13:09;18:59;11:39:50;+5:27;04:57;05:49;06:38;19:40;20:29;21:21
15.03;07:16;13:09;19:01;11:45:17;+5:27;04:54;05:46;06:35;19:43;20:32;21:24
16.03;07:13;13:08;19:04;11:50:45;+5:28;04:50;05:43;06:32;19:45;20:34;21:27
17.03;07:10;13:08;19:06;11:56:12;+5:27;04:47;05:39;06:29;19:48;20:37;21:30
18.03;07:07;13:08;19:09;12:01:39;+5:27;04:43;05:36;06:26;19:50;20:39;21:33
19.03;07:04;13:07;19:11;12:07:06;+5:27;04:39;05:33;06:22;19:52;20:42;21:36
20.03;07:01;13:07;19:13;12:12:35;+5:29;04:35;05:30;06:19;19:55;20:45;21:39
21.03;06:58;13:07;19:16;12:18:02;+5:27;04:32;05:26;06:16;19:57;20:47;21:42
22.03;06:55;13:07;19:18;12:23:29;+5:27;04:28;05:23;06:13;20:00;20:50;21:45
23.03;06:52;13:06;19:21;12:28:56;+5:27;04:24;05:20;06:10;20:02;20:53;21:49
24.03;06:49;13:06;19:23;12:34:24;+5:28;04:20;05:16;06:07;20:05;20:56;21:52
25.03;06:46;13:06;19:26;12:39:51;+5:27;04:16;05:13;06:04;20:07;20:58;21:55
26.03;06:43;13:05;19:28;12:45:18;+5:27;04:12;05:09;06:01;20:10;21:01;21:59
27.03;06:40;13:05;19:30;12:50:45;+5:27;04:08;05:06;05:57;20:12;21:04;22:02
28.03;06:37;13:05;19:33;12:56:12;+5:27;04:04;05:02;05:54;20:15;21:07;22:06
29.03;06:34;13:04;19:35;13:01:39;+5:27;03:59;04:59;05:51;20:18;21:10;22:09
30.03;06:30;13:04;19:38;13:07:06;+5:27;03:55;04:55;05:48;20:20;21:13;22:13
31.03;06:27;13:04;19:40;13:12:32;+5:26;03:51;04:52;05:45;20:23;21:16;22:17
01.04;06:24;13:03;19:42;13:17:59;+5:27;03:46;04:48;05:42;20:25;21:19;22:21
02.04;06:21;13:03;19:45;13:23:25;+5:26;03:42;04:45;05:38;20:28;21:22;22:25
03.04;06:18;13:03;19:47;13:28:52;+5:27;03:37;04:41;05:35;20:30;21:25;22:29
04.04;06:15;13:02;19:50;13:34:18;+5:26;03:32;04:37;05:32;20:33;21:28;22:33
05.04;06:12;13:02;19:52;13:39:44;+5:26;03:27;04:34;05:29;20:36;21:31;22:37
06.04;06:09;13:02;19:54;13:45:10;+5:26;03:22;04:30;05:26;20:38;21:34;22:42
07.04;06:06;13:02;19:57;13:50:36;+5:26;03:17;04:26;05:22;20:41;21:37;22:46
08.04;06:03;13:01;19:59;13:56:02;+5:26;03:12;04:22;05:19;20:44;21:40;22:51
09.04;06:00;13:01;20:02;14:01:27;+5:25;03:06;04:19;05:16;20:46;21:44;22:56
10.04;05:57;13:01;20:04;14:06:52;+5:25;03:01;04:15;05:13;20:49;21:47;23:01
11.04;05:54;13:01;20:07;14:12:16;+5:24;02:55;04:11;05:09;20:52;21:50;23:06
12.04;05:51;13:00;20:09;14:17:41;+5:25;02:49;04:07;05:06;20:54;21:54;23:12
13.04;05:48;13:00;20:12;14:23:05;+5:24;02:42;04:03;05:03;20:57;21:57;23:18
14.04;05:46;13:00;20:14;14:28:29;+5:24;02:36;03:59;05:00;21:00;22:00;23:24
15.04;05:43;13:00;20:16;14:33:52;+5:23;02:29;03:55;04:56;21:03;22:04;23:30
16.04;05:40;12:59;20:19;14:39:15;+5:23;02:21;03:51;04:53;21:05;22:08;23:38
17.04;05:37;12:59;20:21;14:44:38;+5:23;02:13;03:47;04:50;21:08;22:11;23:45
18.04;05:34;12:59;20:24;14:50:00;+5:22;02:03;03:43;04:47;21:11;22:15;23:54
19.04;05:31;12:59;20:26;14:55:22;+5:22;01:53;03:38;04:43;21:14;22:19;00:04
20.04;05:28;12:58;20:29;15:00:42;+5:20;01:40;03:34;04:40;21:17;22:23;00:17
21.04;05:25;12:58;20:31;15:06:03;+5:21;01:21;03:30;04:37;21:20;22:27;00:35
22.04;05:22;12:58;20:34;15:11:23;+5:20;22:31;03:25;04:34;21:22;22:31;03:25
23.04;05:20;12:58;20:36;15:16:42;+5:19;22:35;03:21;04:30;21:25;22:35;03:21
24.04;05:17;12:58;20:39;15:22:00;+5:18;22:39;03:16;04:27;21:28;22:39;03:16
25.04;05:14;12:58;20:41;15:27:18;+5:18;22:43;03:12;04:24;21:31;22:43;03:12
26.04;05:11;12:57;20:44;15:32:34;+5:16;22:48;03:07;04:21;21:34;22:48;03:07
27.04;05:08;12:57;20:46;15:37:50;+5:16;22:52;03:02;04:17;21:37;22:52;03:02
28.04;05:06;12:57;20:49;15:43:04;+5:14;22:57;02:57;04:14;21:40;22:57;02:57
29.04;05:03;12:57;20:51;15:48:18;+5:14;23:02;02:52;04:11;21:43;23:02;02:52
30.04;05:00;12:57;20:54;15:53:30;+5:12;23:07;02:47;04:08;21:46;23:07;02:47
01.05;04:57;12:57;20:56;15:58:41;+5:11;23:12;02:42;04:04;21:49;23:12;02:42
02.05;04:55;12:57;20:59;16:03:50;+5:09;23:17;02:36;04:01;21:52;23:17;02:36
03.05;04:52;12:57;21:01;16:08:58;+5:08;23:23;02:30;03:58;21:55;23:23;02:30
04.05;04:49;12:56;21:04;16:14:05;+5:07;23:29;02:24;03:54;21:58;23:29;02:24
05.05;04:47;12:56;21:06;16:19:10;+5:05;23:35;02:18;03:51;22:02;23:35;02:18
06.05;04:44;12:56;21:08;16:24:13;+5:03;23:42;02:11;03:48;22:05;23:42;02:11
07.05;04:42;12:56;21:11;16:29:13;+5:00;23:49;02:04;03:45;22:08;23:49;02:04
08.05;04:39;12:56;21:13;16:34:12;+4:59;23:57;01:55;03:42;22:11;23:57;01:55
09.05;04:37;12:56;21:16;16:39:09;+4:57;00:06;01:46;03:38;22:14;00:06;01:46
10.05;04:34;12:56;21:18;16:44:04;+4:55;00:17;01:35;03:35;22:17;00:17;01:35
11.05;04:32;12:56;21:21;16:48:56;+4:52;00:33;01:20;03:32;22:21;00:33;01:20
12.05;04:29;12:56;21:23;16:53:45;+4:49;—;22:24;03:29;22:24;03:29;—
13.05;04:27;12:56;21:25;16:58:32;+4:47;—;22:27;03:25;22:27;03:25;—
14.05;04:25;12:56;21:28;17:03:16;+4:44;—;22:30;03:22;22:30;03:22;—
15.05;04:22;12:56;21:30;17:07:56;+4:40;—;22:33;03:19;22:33;03:19;—
16.05;04:20;12:56;21:33;17:12:34;+4:38;—;22:37;03:16;22:37;03:16;—
17.05;04:18;12:56;21:35;17:17:07;+4:33;—;22:40;03:13;22:40;03:13;—
18.05;04:16;12:56;21:37;17:21:37;+4:30;—;22:43;03:09;22:43;03:09;—
19.05;04:13;12:56;21:39;17:26:03;+4:26;—;22:46;03:06;22:46;03:06;—
20.05;04:11;12:56;21:42;17:30:25;+4:22;—;22:50;03:03;22:50;03:03;—
21.05;04:09;12:57;21:44;17:34:43;+4:18;—;22:53;03:00;22:53;03:00;—
22.05;04:07;12:57;21:46;17:38:57;+4:14;—;22:56;02:57;22:56;02:57;—
23.05;04:05;12:57;21:48;17:43:05;+4:08;—;23:00;02:54;23:00;02:54;—
24.05;04:03;12:57;21:50;17:47:09;+4:04;—;23:03;02:51;23:03;02:51;—
25.05;04:01;12:57;21:52;17:51:07;+3:58;—;23:06;02:48;23:06;02:48;—
26.05;03:59;12:57;21:54;17:55:00;+3:53;—;23:09;02:45;23:09;02:45;—
27.05;03:58;12:57;21:56;17:58:47;+3:47;—;23:13;02:42;23:13;02:42;—
28.05;03:56;12:57;21:58;18:02:28;+3:41;—;23:16;02:39;23:16;02:39;—
29.05;03:54;12:57;22:00;18:06:03;+3:35;—;23:19;02:36;23:19;02:36;—
30.05;03:53;12:57;22:02;18:09:32;+3:29;—;23:22;02:33;23:22;02:33;—
31.05;03:51;12:58;22:04;18:12:53;+3:21;—;23:25;02:30;23:25;02:30;—
01.06;03:50;12:58;22:06;18:16:07;+3:14;—;23:29;02:27;23:29;02:27;—
02.06;03:48;12:58;22:08;18:19:15;+3:08;—;23:32;02:24;23:32;02:24;—
03.06;03:47;12:58;22:09;18:22:14;+2:59;—;23:35;02:21;23:35;02:21;—
04.06;03:46;12:58;22:11;18:25:06;+2:52;—;23:38;02:19;23:38;02:19;—
05.06;03:45;12:58;22:12;18:27:49;+2:43;—;23:41;02:16;23:41;02:16;—
06.06;03:43;12:59;22:14;18:30:24;+2:35;—;23:44;02:14;23:44;02:14;—
07.06;03:42;12:59;22:15;18:32:51;+2:27;—;23:46;02:11;23:46;02:11;—
08.06;03:41;12:59;22:17;18:35:07;+2:16;—;23:49;02:09;23:49;02:09;—
09.06;03:41;12:59;22:18;18:37:15;+2:08;—;23:52;02:06;23:52;02:06;—
10.06;03:40;12:59;22:19;18:39:15;+2:00;—;23:54;02:04;23:54;02:04;—
11.06;03:39;13:00;22:20;18:41:04;+1:49;—;23:57;02:02;23:57;02:02;—
12.06;03:38;13:00;22:21;18:42:43;+1:39;—;23:59;02:00;23:59;02:00;—
13.06;03:38;13:00;22:22;18:44:12;+1:29;—;00:01;01:59;00:01;01:59;—
14.06;03:37;13:00;22:23;18:45:31;+1:19;—;00:03;01:57;00:03;01:57;—
15.06;03:37;13:00;22:24;18:46:40;+1:09;—;00:05;01:56;00:05;01:56;—
16.06;03:37;13:01;22:24;18:47:38;+0:58;—;00:06;01:55;00:06;01:55;—
17.06;03:37;13:01;22:25;18:48:26;+0:48;—;00:08;01:54;00:08;01:54;—
18.06;03:36;13:01;22:25;18:49:02;+0:36;—;00:09;01:53;00:09;01:53;—
19.06;03:36;13:01;22:26;18:49:28;+0:26;—;00:10;01:53;00:10;01:53;—
20.06;03:36;13:01;22:26;18:49:43;+0:15;—;00:10;01:53;00:10;01:53;—
21.06;03:37;13:02;22:26;18:49:47;+0:04;—;00:10;01:53;00:10;01:53;—
22.06;03:37;13:02;22:27;18:49:40;−0:07;—;00:10;01:53;00:10;01:53;—
23.06;03:37;13:02;22:27;18:49:24;−0:16;—;00:10;01:54;00:10;01:54;—
24.06;03:38;13:02;22:27;18:48:54;−0:30;—;00:10;01:54;00:10;01:54;—
25.06;03:38;13:02;22:26;18:48:16;−0:38;—;00:09;01:56;00:09;01:56;—
26.06;03:39;13:03;22:26;18:47:26;−0:50;—;00:08;01:57;00:08;01:57;—
27.06;03:40;13:03;22:26;18:46:25;−1:01;—;00:07;01:59;00:07;01:59;—
28.06;03:40;13:03;22:26;18:45:14;−1:11;—;00:05;02:00;00:05;02:00;—
29.06;03:41;13:03;22:25;18:43:53;−1:21;—;00:04;02:02;00:04;02:02;—
30.06;03:42;13:03;22:24;18:42:22;−1:31;—;00:02;02:04;00:02;02:04;—
01.07;03:43;13:03;22:24;18:40:41;−1:41;—;00:00;02:07;00:00;02:07;—
02.07;03:44;13:04;22:23;18:38:50;−1:51;—;23:58;02:09;23:58;02:09;—
03.07;03:45;13:04;22:22;18:36:50;−2:00;—;23:56;02:12;23:56;02:12;—
04.07;03:47;13:04;22:21;18:34:40;−2:10;—;23:54;02:14;23:54;02:14;—
05.07;03:48;13:04;22:20;18:32:20;−2:20;—;23:51;02:17;23:51;02:17;—
06.07;03:49;13:04;22:19;18:29:53;−2:27;—;23:49;02:20;23:49;02:20;—
07.07;03:51;13:04;22:18;18:27:18;−2:35;—;23:46;02:23;23:46;02:23;—
08.07;03:52;13:05;22:17;18:24:33;−2:45;—;23:44;02:26;23:44;02:26;—
09.07;03:54;13:05;22:16;18:21:41;−2:52;—;23:41;02:29;23:41;02:29;—
10.07;03:56;13:05;22:14;18:18:40;−3:01;—;23:38;02:32;23:38;02:32;—
11.07;03:57;13:05;22:13;18:15:33;−3:07;—;23:35;02:35;23:35;02:35;—
12.07;03:59;13:05;22:11;18:12:19;−3:14;—;23:33;02:38;23:33;02:38;—
13.07;04:01;13:05;22:10;18:08:57;−3:22;—;23:30;02:41;23:30;02:41;—
14.07;04:03;13:05;22:08;18:05:29;−3:28;—;23:27;02:44;23:27;02:44;—
15.07;04:05;13:06;22:06;18:01:53;−3:36;—;23:24;02:47;23:24;02:47;—
16.07;04:07;13:06;22:05;17:58:13;−3:40;—;23:21;02:51;23:21;02:51;—
17.07;04:08;13:06;22:03;17:54:27;−3:46;—;23:18;02:54;23:18;02:54;—
18.07;04:10;13:06;22:01;17:50:35;−3:52;—;23:15;02:57;23:15;02:57;—
19.07;04:13;13:06;21:59;17:46:37;−3:58;—;23:12;03:00;23:12;03:00;—
20.07;04:15;13:06;21:57;17:42:34;−4:03;—;23:08;03:03;23:08;03:03;—
21.07;04:17;13:06;21:55;17:38:27;−4:07;—;23:05;03:07;23:05;03:07;—
22.07;04:19;13:06;21:53;17:34:15;−4:12;—;23:02;03:10;23:02;03:10;—
23.07;04:21;13:06;21:51;17:29:59;−4:16;—;22:59;03:13;22:59;03:13;—
24.07;04:23;13:06;21:49;17:25:38;−4:21;—;22:56;03:16;22:56;03:16;—
25.07;04:26;13:06;21:47;17:21:13;−4:25;—;22:53;03:19;22:53;03:19;—
26.07;04:28;13:06;21:45;17:16:45;−4:28;—;22:50;03:23;22:50;03:23;—
27.07;04:30;13:06;21:42;17:12:13;−4:32;—;22:46;03:26;22:46;03:26;—
28.07;04:32;13:06;21:40;17:07:38;−4:35;—;22:43;03:29;22:43;03:29;—
29.07;04:35;13:06;21:38;17:03:00;−4:38;—;22:40;03:32;22:40;03:32;—
30.07;04:37;13:06;21:35;16:58:19;−4:41;—;22:37;03:35;22:37;03:35;—
31.07;04:39;13:06;21:33;16:53:35;−4:44;—;22:34;03:39;22:34;03:39;—
01.08;04:42;13:06;21:30;16:48:49;−4:46;00:42;01:30;03:42;22:30;00:42;01:30
02.08;04:44;13:06;21:28;16:43:59;−4:50;00:27;01:45;03:45;22:27;00:27;01:45
03.08;04:46;13:06;21:25;16:39:07;−4:52;00:16;01:56;03:48;22:24;00:16;01:56
04.08;04:49;13:06;21:23;16:34:14;−4:53;00:07;02:05;03:51;22:21;00:07;02:05
05.08;04:51;13:06;21:20;16:29:17;−4:57;23:59;02:13;03:54;22:17;23:59;02:13
06.08;04:53;13:06;21:18;16:24:20;−4:57;23:51;02:20;03:57;22:14;23:51;02:20
07.08;04:56;13:06;21:15;16:19:20;−5:00;23:44;02:27;04:00;22:11;23:44;02:27
08.08;04:58;13:05;21:13;16:14:18;−5:02;23:38;02:33;04:03;22:08;23:38;02:33
09.08;05:01;13:05;21:10;16:09:15;−5:03;23:32;02:39;04:06;22:04;23:32;02:39
10.08;05:03;13:05;21:07;16:04:11;−5:04;23:26;02:44;04:09;22:01;23:26;02:44
11.08;05:05;13:05;21:05;15:59:05;−5:06;23:21;02:49;04:12;21:58;23:21;02:49
12.08;05:08;13:05;21:02;15:53:57;−5:08;23:15;02:55;04:15;21:54;23:15;02:55
13.08;05:10;13:05;20:59;15:48:49;−5:08;23:10;02:59;04:18;21:51;23:10;02:59
14.08;05:13;13:05;20:56;15:43:40;−5:09;23:05;03:04;04:21;21:48;23:05;03:04
15.08;05:15;13:04;20:54;15:38:29;−5:11;23:00;03:09;04:24;21:45;23:00;03:09
16.08;05:17;13:04;20:51;15:33:18;−5:11;22:55;03:13;04:27;21:41;22:55;03:13
17.08;05:20;13:04;20:48;15:28:05;−5:13;22:50;03:18;04:30;21:38;22:50;03:18
18.08;05:22;13:04;20:45;15:22:52;−5:13;22:46;03:22;04:33;21:35;22:46;03:22
19.08;05:25;13:04;20:42;15:17:38;−5:14;22:41;03:26;04:35;21:32;22:41;03:26
20.08;05:27;13:03;20:39;15:12:23;−5:15;22:37;03:30;04:38;21:28;22:37;03:30
21.08;05:29;13:03;20:37;15:07:07;−5:16;01:20;03:34;04:41;21:25;22:32;00:46
22.08;05:32;13:03;20:34;15:01:51;−5:16;01:41;03:38;04:44;21:22;22:28;00:24
23.08;05:34;13:03;20:31;14:56:34;−5:17;01:54;03:41;04:47;21:18;22:24;00:11
24.08;05:37;13:02;20:28;14:51:17;−5:17;02:05;03:45;04:49;21:15;22:19;00:00
25.08;05:39;13:02;20:25;14:45:59;−5:18;02:13;03:49;04:52;21:12;22:15;23:51
26.08;05:41;13:02;20:22;14:40:41;−5:18;02:21;03:52;04:55;21:09;22:11;23:42
27.08;05:44;13:01;20:19;14:35:22;−5:19;02:29;03:56;04:58;21:05;22:07;23:34
28.08;05:46;13:01;20:16;14:30:03;−5:19;02:35;03:59;05:00;21:02;22:03;23:27
29.08;05:48;13:01;20:13;14:24:45;−5:18;02:41;04:03;05:03;20:59;21:59;23:20
30.08;05:51;13:01;20:10;14:19:24;−5:21;02:47;04:06;05:06;20:56;21:55;23:14
31.08;05:53;13:00;20:07;14:14:05;−5:19;02:53;04:09;05:08;20:52;21:51;23:08
01.09;05:56;13:00;20:04;14:08:45;−5:20;02:58;04:13;05:11;20:49;21:47;23:02
02.09;05:58;13:00;20:01;14:03:24;−5:21;03:03;04:16;05:13;20:46;21:43;22:56
03.09;06:00;12:59;19:58;13:58:03;−5:21;03:08;04:19;05:16;20:43;21:40;22:51
04.09;06:03;12:59;19:55;13:52:43;−5:20;03:12;04:22;05:19;20:39;21:36;22:45
05.09;06:05;12:59;19:52;13:47:22;−5:21;03:17;04:25;05:21;20:36;21:32;22:40
06.09;06:07;12:58;19:49;13:42:01;−5:21;03:21;04:28;05:24;20:33;21:28;22:35
07.09;06:10;12:58;19:46;13:36:39;−5:22;03:26;04:31;05:26;20:30;21:25;22:30
08.09;06:12;12:58;19:43;13:31:18;−5:21;03:30;04:34;05:29;20:26;21:21;22:26
09.09;06:14;12:57;19:40;13:25:57;−5:21;03:34;04:37;05:31;20:23;21:17;22:21
10.09;06:17;12:57;19:37;13:20:34;−5:23;03:38;04:40;05:34;20:20;21:14;22:16
11.09;06:19;12:56;19:34;13:15:13;−5:21;03:41;04:43;05:36;20:17;21:10;22:12
12.09;06:21;12:56;19:31;13:09:51;−5:22;03:45;04:46;05:39;20:14;21:06;22:07
13.09;06:24;12:56;19:28;13:04:29;−5:22;03:49;04:49;05:41;20:10;21:03;22:03
14.09;06:26;12:55;19:25;12:59:07;−5:22;03:52;04:51;05:44;20:07;20:59;21:59
15.09;06:28;12:55;19:22;12:53:45;−5:22;03:56;04:54;05:46;20:04;20:56;21:54
16.09;06:30;12:55;19:19;12:48:23;−5:22;03:59;04:57;05:48;20:01;20:52;21:50
17.09;06:33;12:54;19:16;12:43:00;−5:23;04:03;05:00;05:51;19:58;20:49;21:46
18.09;06:35;12:54;19:13;12:37:38;−5:22;04:06;05:02;05:53;19:55;20:45;21:42
19.09;06:37;12:54;19:10;12:32:16;−5:22;04:09;05:05;05:56;19:51;20:42;21:38
20.09;06:40;12:53;19:07;12:26:53;−5:23;04:12;05:08;05:58;19:48;20:39;21:34
21.09;06:42;12:53;19:04;12:21:31;−5:22;04:15;05:10;06:00;19:45;20:35;21:30
22.09;06:44;12:52;19:01;12:16:08;−5:23;04:18;05:13;06:03;19:42;20:32;21:26
23.09;06:47;12:52;18:57;12:10:46;−5:22;04:22;05:15;06:05;19:39;20:29;21:23
24.09;06:49;12:52;18:54;12:05:23;−5:23;04:25;05:18;06:08;19:36;20:25;21:19
25.09;06:51;12:51;18:51;12:00:01;−5:22;04:28;05:21;06:10;19:33;20:22;21:15
26.09;06:54;12:51;18:48;11:54:38;−5:23;04:30;05:23;06:12;19:30;20:19;21:12
27.09;06:56;12:51;18:45;11:49:16;−5:22;04:33;05:26;06:15;19:27;20:16;21:08
28.09;06:58;12:50;18:42;11:43:52;−5:24;04:36;05:28;06:17;19:24;20:12;21:04
29.09;07:01;12:50;18:39;11:38:30;−5:22;04:39;05:31;06:19;19:20;20:09;21:01
30.09;07:03;12:50;18:36;11:33:07;−5:23;04:42;05:33;06:22;19:17;20:06;20:57
01.10;07:05;12:49;18:33;11:27:45;−5:22;04:45;05:36;06:24;19:14;20:03;20:54
02.10;07:08;12:49;18:30;11:22:22;−5:23;04:47;05:38;06:26;19:11;20:00;20:51
03.10;07:10;12:49;18:27;11:16:59;−5:23;04:50;05:41;06:29;19:08;19:57;20:47
